,Date,Vis_Team,Inning,Batting,Outs,Balls,Strikes,Pitch_Sequence,Vis_Score,Home_Score,Batter,Batter_Hand,Pitcher,Pitcher_Hand,First_Runner,Second_Runner,Third_Runner,Event_Text,Is_Leadoff,Event_Type,RBI,Event_Number
4,PIT201904010,SLN,1,1,0,3,1,BBBCB,0,0,fraza001,L,waina001,R,,,,W,T,14,0,5
5,PIT201904010,SLN,1,1,0,3,2,B*BC1SFB*B,0,0,marts002,R,waina001,R,fraza001,,,W.1-2,F,14,0,6
6,PIT201904010,SLN,1,1,0,3,2,BBFBSX,0,0,dickc002,L,waina001,R,marts002,fraza001,,31/G.2-3;1-2,F,2,0,7
7,PIT201904010,SLN,1,1,1,2,1,BBCX,0,0,bellj005,L,waina001,R,,marts002,fraza001,43/G+.3-H;2-3,F,2,1,8
8,PIT201904010,SLN,1,1,2,3,1,BBBCB,0,1,cervf001,R,waina001,R,,,marts002,W,F,14,0,9
9,PIT201904010,SLN,1,1,2,0,0,X,0,1,morac001,L,waina001,R,cervf001,,marts002,D9/L+.3-H;1-H,F,21,2,10
10,PIT201904010,SLN,1,1,2,2,2,CBCBX,0,3,reyep001,R,waina001,R,,morac001,,6/P,F,2,0,11
15,PIT201904010,SLN,2,1,0,1,2,BSFC,0,3,gonze004,R,waina001,R,,,,K,T,3,0,16
16,PIT201904010,SLN,2,1,1,1,2,FCBC,0,3,archc001,R,waina001,R,,,,K,F,3,0,17
17,PIT201904010,SLN,2,1,2,2,1,BBFX,0,3,fraza001,L,waina001,R,,,,63/G+,F,2,0,18
23,PIT201904010,SLN,3,1,0,1,0,BX,0,3,marts002,R,waina001,R,,,,S7/L,T,20,0,24
24,PIT201904010,SLN,3,1,0,1,1,1S11BX,0,3,dickc002,L,waina001,R,marts002,,,DGR/78/F.1-3,F,21,0,25
25,PIT201904010,SLN,3,1,0,3,1,B*BBCX,0,3,bellj005,L,waina001,R,,dickc002,marts002,7/L/SF.3-H,F,2,1,26
26,PIT201904010,SLN,3,1,1,3,2,TBFBBC,0,4,cervf001,R,waina001,R,,dickc002,,K,F,3,0,27
27,PIT201904010,SLN,3,1,2,3,0,VVVV,0,4,morac001,L,waina001,R,,dickc002,,IW,F,15,0,28
28,PIT201904010,SLN,3,1,2,1,1,CBX,0,4,reyep001,R,waina001,R,morac001,dickc002,,9/F,F,2,0,29
33,PIT201904010,SLN,4,1,0,0,0,X,0,4,gonze004,R,waina001,R,,,,S8/G,T,20,0,34
34,PIT201904010,SLN,4,1,0,1,2,BLOX,0,4,archc001,R,waina001,R,gonze004,,,24/BG/SH/DP.1X3(456),F,2,0,35
35,PIT201904010,SLN,4,1,2,2,0,BBX,0,4,fraza001,L,waina001,R,,,,3/G,F,2,0,36
40,PIT201904010,SLN,5,1,0,0,0,.X,0,4,marts002,R,brebj001,R,,,,9/F,T,2,0,41
41,PIT201904010,SLN,5,1,1,0,2,CFX,0,4,dickc002,L,brebj001,R,,,,9/L,F,2,0,42
42,PIT201904010,SLN,5,1,2,3,2,BBFSBFX,0,4,bellj005,L,brebj001,R,,,,23/G-,F,2,0,43
46,PIT201904010,SLN,6,1,0,3,2,SSBBBS,0,4,cervf001,R,brebj001,R,,,,K,T,3,0,47
47,PIT201904010,SLN,6,1,1,3,1,BBFBB,0,4,morac001,L,brebj001,R,,,,W,F,14,0,48
48,PIT201904010,SLN,6,1,1,1,2,SCBS,0,4,reyep001,R,brebj001,R,morac001,,,K,F,3,0,49
49,PIT201904010,SLN,6,1,2,0,0,X,0,4,gonze004,R,brebj001,R,morac001,,,9/L,F,2,0,50
59,PIT201904010,SLN,7,1,0,0,2,..CFFFFX,3,4,shucj001,L,leond003,R,,,,E8/L.B-2,T,18,0,60
60,PIT201904010,SLN,7,1,0,1,2,2BCFS,3,4,fraza001,L,leond003,R,,shucj001,,K,F,3,0,61
61,PIT201904010,SLN,7,1,1,0,2,FFX,3,4,marts002,R,leond003,R,,shucj001,,63/G.2-3,F,2,0,62
62,PIT201904010,SLN,7,1,2,3,2,..CBB*BFB,3,4,dickc002,L,milla002,L,,,shucj001,W,F,14,0,63
63,PIT201904010,SLN,7,1,2,2,0,BBH,3,4,bellj005,R,milla002,L,dickc002,,shucj001,HP.1-2,F,16,0,64
64,PIT201904010,SLN,7,1,2,3,2,.BBBCSX,3,4,cervf001,R,mayem001,R,bellj005,dickc002,shucj001,63/G,F,2,0,65
71,PIT201904010,SLN,8,1,0,1,1,SBX,4,4,morac001,L,mayem001,R,,,,HR/9/L,T,23,1,72
72,PIT201904010,SLN,8,1,0,0,1,CX,4,5,kangj001,R,mayem001,R,,,,8/F,F,2,0,73
73,PIT201904010,SLN,8,1,1,1,1,BSX,4,5,gonze004,R,mayem001,R,,,,4/P,F,2,0,74
74,PIT201904010,SLN,8,1,2,1,1,BCH,4,5,shucj001,L,mayem001,R,,,,HP,F,16,0,75
75,PIT201904010,SLN,8,1,2,1,1,1BSX,4,5,fraza001,L,mayem001,R,shucj001,,,S8/L.1-2,F,20,0,76
76,PIT201904010,SLN,8,1,2,3,2,S*B*BFBC,4,5,marts002,R,mayem001,R,fraza001,shucj001,,K,F,3,0,77
83,PIT201904010,SLN,9,1,0,3,2,.SBSBFBS,5,5,dickc002,L,hickj002,R,,,,K,T,3,0,84
84,PIT201904010,SLN,9,1,1,3,2,.FSBBBB,5,5,cabrm002,L,hickj002,R,,,,W,F,14,0,85
85,PIT201904010,SLN,9,1,1,0,1,.FX,5,5,cervf001,R,hickj002,R,newmk001,,,64(1)3/GDP,F,2,0,86
89,PIT201904010,SLN,10,1,0,3,2,CBSBBX,5,5,morac001,L,hickj002,R,,,,9/F,T,2,0,90
90,PIT201904010,SLN,10,1,1,0,2,FCS,5,5,kangj001,R,hickj002,R,,,,K,F,3,0,91
91,PIT201904010,SLN,10,1,2,3,2,CBBFFBFX,5,5,gonze004,R,hickj002,R,,,,13/G-,F,2,0,92
99,PIT201904010,SLN,11,1,0,0,1,...CX,6,5,shucj001,L,gantj002,R,,,,13/G,T,2,0,100
100,PIT201904010,SLN,11,1,1,3,1,CBBBB,6,5,fraza001,L,gantj002,R,,,,W,F,14,0,101
101,PIT201904010,SLN,11,1,1,2,2,B11FFBX,6,5,marts002,R,gantj002,R,fraza001,,,46(1)3/GDP,F,2,0,102
105,PIT201904030,SLN,1,1,0,2,1,BBTX,0,0,fraza001,L,mikom001,R,,,,D8/F,T,21,0,4
106,PIT201904030,SLN,1,1,0,0,2,CFFFS,0,0,marts002,R,mikom001,R,,fraza001,,K,F,3,0,5
107,PIT201904030,SLN,1,1,1,2,1,*BCBX,0,0,cervf001,R,mikom001,R,,fraza001,,E9/F.2-3,F,18,0,6
108,PIT201904030,SLN,1,1,1,3,1,BCBBB,0,0,bellj005,L,mikom001,R,cervf001,,fraza001,W.1-2,F,14,0,7
109,PIT201904030,SLN,1,1,1,1,2,CBFX,0,0,kangj001,R,mikom001,R,bellj005,cervf001,fraza001,54(1)3/GDP,F,2,0,8
115,PIT201904030,SLN,2,1,0,1,0,BX,0,0,cabrm002,L,mikom001,R,,,,7/L,T,2,0,14
116,PIT201904030,SLN,2,1,1,2,2,CBBFX,0,0,shucj001,L,mikom001,R,,,,S6/G,F,20,0,15
117,PIT201904030,SLN,2,1,1,0,0,1X,0,0,gonze004,R,mikom001,R,shucj001,,,T9/L.1-H,F,22,1,16
118,PIT201904030,SLN,2,1,1,1,2,SBCS,0,1,tailj001,R,mikom001,R,,,gonze004,K,F,3,0,17
119,PIT201904030,SLN,2,1,2,2,2,BFCFBX,0,1,fraza001,L,mikom001,R,,,gonze004,S9/G.3-H,F,20,1,18
120,PIT201904030,SLN,2,1,2,1,1,F1BS,0,2,marts002,R,mikom001,R,fraza001,,,SB2,F,4,0,19
121,PIT201904030,SLN,2,1,2,2,2,F1BS.*BX,0,2,marts002,R,mikom001,R,,fraza001,,13/G,F,2,0,20
126,PIT201904030,SLN,3,1,0,0,1,FX,0,2,cervf001,R,mikom001,R,,,,7/F,T,2,0,25
127,PIT201904030,SLN,3,1,1,0,1,CX,0,2,bellj005,L,mikom001,R,,,,43/G,F,2,0,26
128,PIT201904030,SLN,3,1,2,3,2,CSBFBFBX,0,2,kangj001,R,mikom001,R,,,,HR/7/F,F,23,1,27
129,PIT201904030,SLN,3,1,2,1,0,BX,0,3,cabrm002,L,mikom001,R,,,,D9/L,F,21,0,28
130,PIT201904030,SLN,3,1,2,3,0,BBBB,0,3,shucj001,L,mikom001,R,,cabrm002,,W,F,14,0,29
131,PIT201904030,SLN,3,1,2,0,1,CX,0,3,gonze004,R,mikom001,R,shucj001,cabrm002,,13/G,F,2,0,30
135,PIT201904030,SLN,4,1,0,1,1,CBX,0,3,tailj001,R,mikom001,R,,,,43/G,T,2,0,34
136,PIT201904030,SLN,4,1,1,3,2,BBBFFX,0,3,fraza001,L,mikom001,R,,,,D/L/FINT,F,21,0,35
137,PIT201904030,SLN,4,1,1,0,2,CTFFX,0,3,marts002,R,mikom001,R,,fraza001,,13/G-.2-3,F,2,0,36
138,PIT201904030,SLN,4,1,2,0,0,X,0,3,cervf001,R,mikom001,R,,,fraza001,63/G,F,2,0,37
142,PIT201904030,SLN,5,1,0,1,2,BCFFX,0,3,bellj005,L,mikom001,R,,,,43/G,T,2,0,41
143,PIT201904030,SLN,5,1,1,2,2,CBFBFX,0,3,kangj001,R,mikom001,R,,,,13/G,F,2,0,42
144,PIT201904030,SLN,5,1,2,1,2,CFFBX,0,3,cabrm002,L,mikom001,R,,,,43/G,F,2,0,43
148,PIT201904030,SLN,6,1,0,0,1,.CX,0,3,shucj001,L,leond003,R,,,,3/G,T,2,0,47
149,PIT201904030,SLN,6,1,1,0,2,CSS,0,3,gonze004,R,leond003,R,,,,K,F,3,0,48
150,PIT201904030,SLN,6,1,2,3,2,BBBCSC,0,3,tailj001,R,leond003,R,,,,K,F,3,0,49
155,PIT201904030,SLN,7,1,0,3,2,..CBBBFFX,1,3,fraza001,L,mayem001,R,,,,63/G,T,2,0,54
156,PIT201904030,SLN,7,1,1,1,2,CBFX,1,3,marts002,R,mayem001,R,,,,63/G,F,2,0,55
157,PIT201904030,SLN,7,1,2,3,2,BCBSBFB,1,3,cervf001,R,mayem001,R,,,,W,F,14,0,56
158,PIT201904030,SLN,7,1,2,3,2,BCC*BBS,1,3,bellj005,L,mayem001,R,cervf001,,,K,F,3,0,57
165,PIT201904030,SLN,8,1,0,3,2,CBBSBX,3,3,kangj001,R,mayem001,R,,,,8/F,T,2,0,64
166,PIT201904030,SLN,8,1,1,2,2,..SBFBFX,3,3,dickc002,L,milla002,L,,,,13/G-,F,2,0,65
167,PIT201904030,SLN,8,1,2,0,2,CFC,3,3,shucj001,L,milla002,L,,,,K,F,3,0,66
171,PIT201904030,SLN,9,1,0,3,2,.BCSBBFB,3,3,gonze004,R,gantj002,R,,,,W,T,14,0,70
172,PIT201904030,SLN,9,1,0,1,0,1BS,3,3,reyep001,R,gantj002,R,gonze004,,,SB2,F,4,0,71
173,PIT201904030,SLN,9,1,0,2,2,1BS.2FBS,3,3,reyep001,R,gantj002,R,,gonze004,,K,F,3,0,72
174,PIT201904030,SLN,9,1,1,0,2,FFX,3,3,fraza001,L,gantj002,R,,gonze004,,5/L,F,2,0,73
175,PIT201904030,SLN,9,1,2,1,1,F*BX,3,3,marts002,R,gantj002,R,,gonze004,,53/G,F,2,0,74
184,PIT201904030,SLN,10,1,0,0,0,.X,5,3,cervf001,R,reyea004,R,,,,S7/L,T,20,0,83
185,PIT201904030,SLN,10,1,0,0,0,X,5,3,bellj005,L,reyea004,R,cervf001,,,7/L,F,2,0,84
186,PIT201904030,SLN,10,1,1,3,2,*BBBCCB,5,3,kangj001,R,reyea004,R,cervf001,,,W.1-2,F,14,0,85
187,PIT201904030,SLN,10,1,1,3,1,.F*BBB*B,5,3,morac001,L,reyea004,R,kangj001,cervf001,,W.2-3;1-2,F,14,0,86
188,PIT201904030,SLN,10,1,1,3,1,..C*BBBB,5,3,shucj001,L,hudsd002,R,newmk001,kangj001,cervf001,W.3-H;2-3;1-2,F,14,1,87
189,PIT201904030,SLN,10,1,1,0,2,CFX,5,4,gonze004,R,hudsd002,R,shucj001,newmk001,kangj001,3/P3F,F,2,0,88
190,PIT201904030,SLN,10,1,2,2,1,BBSX,5,4,reyep001,R,hudsd002,R,shucj001,newmk001,kangj001,63/G,F,2,0,89
195,PIT201904040,CIN,1,1,0,1,0,BX,0,0,fraza001,L,mahlt001,R,,,,63/G,T,2,0,5
196,PIT201904040,CIN,1,1,1,0,1,CX,0,0,marts002,R,mahlt001,R,,,,63/G,F,2,0,6
197,PIT201904040,CIN,1,1,2,0,1,CX,0,0,cervf001,R,mahlt001,R,,,,53/G,F,2,0,7
203,PIT201904040,CIN,2,1,0,2,1,CBBX,0,0,bellj005,L,mahlt001,R,,,,53/G,T,2,0,13
204,PIT201904040,CIN,2,1,1,2,2,BCBFC,0,0,kangj001,R,mahlt001,R,,,,K,F,3,0,14
205,PIT201904040,CIN,2,1,2,1,1,BCX,0,0,cabrm002,L,mahlt001,R,,,,S65/G-,F,20,0,15
206,PIT201904040,CIN,2,1,2,2,1,BCBX,0,0,shucj001,L,mahlt001,R,cabrm002,,,7/F7LF,F,2,0,16
210,PIT201904040,CIN,3,1,0,1,1,CBX,0,0,newmk001,R,mahlt001,R,,,,9/F,T,2,0,20
211,PIT201904040,CIN,3,1,1,2,2,BCBCFS,0,0,lylej001,R,mahlt001,R,,,,K,F,3,0,21
212,PIT201904040,CIN,3,1,2,1,2,CSBFX,0,0,fraza001,L,mahlt001,R,,,,S7/L,F,20,0,22
213,PIT201904040,CIN,3,1,2,0,1,FF,0,0,marts002,R,mahlt001,R,fraza001,,,SB2,F,4,0,23
214,PIT201904040,CIN,3,1,2,0,2,FF.S,0,0,marts002,R,mahlt001,R,,fraza001,,K,F,3,0,24
219,PIT201904040,CIN,4,1,0,1,2,FCBS,0,0,cervf001,R,mahlt001,R,,,,K,T,3,0,29
220,PIT201904040,CIN,4,1,1,3,1,BBFBX,0,0,bellj005,L,mahlt001,R,,,,S8/G,F,20,0,30
221,PIT201904040,CIN,4,1,1,2,2,*BC1BFS,0,0,kangj001,R,mahlt001,R,bellj005,,,K,F,3,0,31
222,PIT201904040,CIN,4,1,2,1,0,BX,0,0,cabrm002,L,mahlt001,R,bellj005,,,S7/G.1-3;BX2(764/TH),F,20,0,32
227,PIT201904040,CIN,5,1,0,1,2,CBCX,0,0,shucj001,L,mahlt001,R,,,,31/G,T,2,0,37
228,PIT201904040,CIN,5,1,1,2,0,BBX,0,0,newmk001,R,mahlt001,R,,,,7/L+,F,2,0,38
229,PIT201904040,CIN,5,1,2,0,1,CX,0,0,lylej001,R,mahlt001,R,,,,53/G,F,2,0,39
234,PIT201904040,CIN,6,1,0,2,2,BCCBX,0,0,fraza001,L,mahlt001,R,,,,8/L+,T,2,0,44
235,PIT201904040,CIN,6,1,1,0,1,LX,0,0,marts002,R,mahlt001,R,,,,D7/G,F,21,0,45
236,PIT201904040,CIN,6,1,1,0,0,X,0,0,cervf001,R,mahlt001,R,,marts002,,9/F,F,2,0,46
237,PIT201904040,CIN,6,1,2,2,2,FSBF*BX,0,0,bellj005,L,mahlt001,R,,marts002,,8/F+,F,2,0,47
242,PIT201904040,CIN,7,1,0,0,2,.CSX,0,0,kangj001,R,hernd002,R,,,,4/P,T,2,0,52
243,PIT201904040,CIN,7,1,1,2,2,CFBBFX,0,0,cabrm002,L,hernd002,R,,,,S9/L,F,20,0,53
244,PIT201904040,CIN,7,1,1,1,0,.1BX,0,0,shucj001,L,hernd002,R,reyep001,,,S49/G.1-3,F,20,0,54
245,PIT201904040,CIN,7,1,1,2,2,S*BSBX,0,0,newmk001,R,hernd002,R,shucj001,,reyep001,31/G-.3-H;1-2,F,2,1,55
246,PIT201904040,CIN,7,1,2,1,1,..BFX,0,1,morac001,L,peraw002,L,,shucj001,,43/G,F,2,0,56
251,PIT201904040,CIN,8,1,0,2,2,BBFFX,0,1,fraza001,L,peraw002,L,,,,9/L+,T,2,0,61
252,PIT201904040,CIN,8,1,1,2,2,.SSBBX,0,1,marts002,R,lorem002,R,,,,S9/F,F,20,0,62
253,PIT201904040,CIN,8,1,1,0,0,1X,0,1,cervf001,R,lorem002,R,marts002,,,S8/G.1-3,F,20,0,63
254,PIT201904040,CIN,8,1,1,1,2,FS*BX,0,1,bellj005,L,lorem002,R,cervf001,,marts002,S9/G.3-H;1-2,F,20,1,64
255,PIT201904040,CIN,8,1,1,3,0,*BBBX,0,2,kangj001,R,lorem002,R,bellj005,cervf001,,54(1)3/GDP,F,2,0,65
264,PIT201904050,CIN,1,1,0,2,2,CBCBX,0,0,fraza001,L,grays001,R,,,,7/L,T,2,0,4
265,PIT201904050,CIN,1,1,1,1,1,SBX,0,0,marts002,R,grays001,R,,,,53/G,F,2,0,5
266,PIT201904050,CIN,1,1,2,2,0,BBX,0,0,cervf001,R,grays001,R,,,,S9/L,F,20,0,6
267,PIT201904050,CIN,1,1,2,1,2,CFBS,0,0,bellj005,L,grays001,R,cervf001,,,K,F,3,0,7
272,PIT201904050,CIN,2,1,0,0,0,X,0,0,kangj001,R,grays001,R,,,,8/F,T,2,0,12
273,PIT201904050,CIN,2,1,1,3,2,BBBCFS,0,0,morac001,L,grays001,R,,,,K,F,3,0,13
274,PIT201904050,CIN,2,1,2,2,1,BCBX,0,0,shucj001,L,grays001,R,,,,8/F,F,2,0,14
279,PIT201904050,CIN,3,1,0,3,2,CBFBFBX,0,0,gonze004,R,grays001,R,,,,63/G,T,2,0,19
280,PIT201904050,CIN,3,1,1,1,2,SBCFS,0,0,musgj001,R,grays001,R,,,,K,F,3,0,20
281,PIT201904050,CIN,3,1,2,0,2,FFC,0,0,fraza001,L,grays001,R,,,,K,F,3,0,21
286,PIT201904050,CIN,4,1,0,1,0,BX,0,0,marts002,R,grays001,R,,,,8/F,T,2,0,26
287,PIT201904050,CIN,4,1,1,2,2,CBBCX,0,0,cervf001,R,grays001,R,,,,9/F,F,2,0,27
288,PIT201904050,CIN,4,1,2,0,0,X,0,0,bellj005,L,grays001,R,,,,4/L,F,2,0,28
293,PIT201904050,CIN,5,1,0,2,2,CBSBX,0,0,kangj001,R,grays001,R,,,,63/G,T,2,0,33
294,PIT201904050,CIN,5,1,1,3,2,BCBFBS,0,0,morac001,L,grays001,R,,,,K,F,3,0,34
295,PIT201904050,CIN,5,1,2,2,2,BCBCS,0,0,shucj001,L,grays001,R,,,,K,F,3,0,35
299,PIT201904050,CIN,6,1,0,0,0,X,0,0,gonze004,R,grays001,R,,,,31/G,T,2,0,39
300,PIT201904050,CIN,6,1,1,2,2,BCCBS,0,0,musgj001,R,grays001,R,,,,K,F,3,0,40
301,PIT201904050,CIN,6,1,2,2,0,BBX,0,0,fraza001,L,grays001,R,,,,31/G,F,2,0,41
305,PIT201904050,CIN,7,1,0,0,0,X,0,0,marts002,R,grays001,R,,,,S7/L+,T,20,0,45
306,PIT201904050,CIN,7,1,0,1,0,1BB,0,0,cervf001,R,grays001,R,marts002,,,WP.1-2,F,9,0,46
307,PIT201904050,CIN,7,1,0,2,0,1BB.X,0,0,cervf001,R,grays001,R,,marts002,,63/G.2-3,F,2,0,47
308,PIT201904050,CIN,7,1,1,2,1,BC*BX,0,0,bellj005,L,grays001,R,,,marts002,FC4/G.3XH(42),F,19,0,48
309,PIT201904050,CIN,7,1,2,0,0,X,0,0,kangj001,R,grays001,R,bellj005,,,D7/L.1-H,F,21,1,49
310,PIT201904050,CIN,7,1,2,0,2,..SCB,0,1,reyep001,R,garra001,L,,kangj001,,WP.2-3,F,9,0,50
311,PIT201904050,CIN,7,1,2,1,2,..SCB.S,0,1,reyep001,R,garra001,L,,,kangj001,K,F,3,0,51
315,PIT201904050,CIN,8,1,0,1,1,.CBX,0,1,shucj001,L,hernd002,R,,,,S2/BG,T,20,0,55
316,PIT201904050,CIN,8,1,0,0,0,X,0,1,gonze004,R,hernd002,R,shucj001,,,FC3/BG/SH.1-2;B-1,F,19,0,56
317,PIT201904050,CIN,8,1,0,0,1,.LX,0,1,cabrm002,L,hernd002,R,gonze004,shucj001,,8/L,F,2,0,57
318,PIT201904050,CIN,8,1,1,0,1,.CX,0,1,fraza001,L,dukez001,L,gonze004,shucj001,,D7/F.2-H;1-3,F,21,1,58
319,PIT201904050,CIN,8,1,1,1,2,.FBFX,0,2,marts002,R,hughj001,R,,fraza001,gonze004,FC5/G.3XH(52);2-3,F,19,0,59
320,PIT201904050,CIN,8,1,2,0,2,F1FB,0,2,cervf001,R,hughj001,R,marts002,,fraza001,SB2,F,4,0,60
321,PIT201904050,CIN,8,1,2,1,2,F1FB.X,0,2,cervf001,R,hughj001,R,,marts002,fraza001,8/F,F,2,0,61
328,PIT201904060,CIN,1,1,0,3,1,BFBBX,0,0,martj009,L,roart001,R,,,,S8/L,T,20,0,4
329,PIT201904060,CIN,1,1,0,2,2,BBS1CS,0,0,marts002,R,roart001,R,martj009,,,K,F,3,0,5
330,PIT201904060,CIN,1,1,1,0,0,1B,0,0,morac001,L,roart001,R,martj009,,,SB2,F,4,0,6
331,PIT201904060,CIN,1,1,1,2,1,1B.BFX,0,0,morac001,L,roart001,R,,martj009,,8/L,F,2,0,7
332,PIT201904060,CIN,1,1,2,0,0,X,0,0,bellj005,L,roart001,R,,martj009,,D8/L.2-H,F,21,1,8
333,PIT201904060,CIN,1,1,2,1,0,BX,0,1,cabrm002,L,roart001,R,,bellj005,,9/F,F,2,0,9
337,PIT201904060,CIN,2,1,0,2,1,BBFX,0,1,newmk001,R,roart001,R,,,,S8/G,T,20,0,13
338,PIT201904060,CIN,2,1,0,0,2,1F11FFFFFX,0,1,stalj001,R,roart001,R,newmk001,,,S7/F.1-3,F,20,0,14
339,PIT201904060,CIN,2,1,0,3,2,LF*BBBS,0,1,gonze004,R,roart001,R,stalj001,,newmk001,K,F,3,0,15
340,PIT201904060,CIN,2,1,1,0,1,1LX,0,1,willt002,R,roart001,R,stalj001,,newmk001,FC1/BG.3XH(12);1-2,F,19,0,16
341,PIT201904060,CIN,2,1,2,2,0,BBX,0,1,martj009,L,roart001,R,willt002,stalj001,,36(1)/FO/G,F,2,0,17
349,PIT201904060,CIN,3,1,0,0,1,CX,3,1,marts002,R,roart001,R,,,,9/F,T,2,0,25
350,PIT201904060,CIN,3,1,1,1,1,CBX,3,1,morac001,L,roart001,R,,,,S7/G,F,20,0,26
351,PIT201904060,CIN,3,1,1,0,0,X,3,1,bellj005,L,roart001,R,morac001,,,DGR/78/L+.1-3,F,21,0,27
352,PIT201904060,CIN,3,1,1,0,1,FX,3,1,cabrm002,L,roart001,R,,bellj005,morac001,43/G.3-H,F,2,1,28
353,PIT201904060,CIN,3,1,2,3,2,BFTB*BFFB,3,2,newmk001,R,roart001,R,,bellj005,,W,F,14,0,29
354,PIT201904060,CIN,3,1,2,2,2,CFFBFBX,3,2,stalj001,R,roart001,R,newmk001,bellj005,,53/G,F,2,0,30
360,PIT201904060,CIN,4,1,0,0,0,X,4,2,gonze004,R,roart001,R,,,,53/G,T,2,0,36
361,PIT201904060,CIN,4,1,1,2,2,BCCBFX,4,2,willt002,R,roart001,R,,,,23/G-,F,2,0,37
362,PIT201904060,CIN,4,1,2,3,2,CFFBFBBB,4,2,martj009,L,roart001,R,,,,W,F,14,0,38
363,PIT201904060,CIN,4,1,2,0,1,CX,4,2,marts002,R,roart001,R,martj009,,,8/F,F,2,0,39
367,PIT201904060,CIN,5,1,0,1,2,SFFBC,4,2,morac001,L,roart001,R,,,,K,T,3,0,43
368,PIT201904060,CIN,5,1,1,0,0,X,4,2,bellj005,L,roart001,R,,,,HR/8/F,F,23,1,44
369,PIT201904060,CIN,5,1,1,2,1,CBBX,4,3,cabrm002,L,roart001,R,,,,63/G,F,2,0,45
370,PIT201904060,CIN,5,1,2,1,2,CCBC,4,3,newmk001,R,roart001,R,,,,K,F,3,0,46
375,PIT201904060,CIN,6,1,0,0,0,.X,4,3,stalj001,R,hughj001,R,,,,S8/L,T,20,0,51
376,PIT201904060,CIN,6,1,0,0,0,X,4,3,gonze004,R,hughj001,R,stalj001,,,34/BG/SH.1-2,F,2,0,52
377,PIT201904060,CIN,6,1,1,3,2,..S*BBBSB,4,3,fraza001,L,dukez001,L,,stalj001,,W,F,14,0,53
378,PIT201904060,CIN,6,1,1,1,0,..BX,4,3,kangj001,R,lorem002,R,fraza001,stalj001,,13/G-.2-3;1-2,F,2,0,54
379,PIT201904060,CIN,6,1,2,3,1,BFBBX,4,3,marts002,R,lorem002,R,,fraza001,stalj001,D8/L.3-H;2-H,F,21,2,55
380,PIT201904060,CIN,6,1,2,3,2,BFBSBS,4,5,morac001,L,lorem002,R,,marts002,,K,F,3,0,56
384,PIT201904060,CIN,7,1,0,2,2,.BCFFBX,4,5,bellj005,R,garra001,L,,,,8/F,T,2,0,60
385,PIT201904060,CIN,7,1,1,0,0,X,4,5,cabrm002,R,garra001,L,,,,63/G,F,2,0,61
386,PIT201904060,CIN,7,1,2,1,1,BFX,4,5,newmk001,R,garra001,L,,,,9/L,F,2,0,62
391,PIT201904060,CIN,8,1,0,3,2,...BCCFBBFX,5,5,stalj001,R,igler001,R,,,,9/F9LF,T,2,0,67
392,PIT201904060,CIN,8,1,1,2,2,BBSFX,5,5,gonze004,R,igler001,R,,,,7/F,F,2,0,68
393,PIT201904060,CIN,8,1,2,1,2,BFFC,5,5,shucj001,L,igler001,R,,,,K,F,3,0,69
397,PIT201904060,CIN,9,1,0,2,2,BBCSS,5,5,kangj001,R,igler001,R,,,,K,T,3,0,73
398,PIT201904060,CIN,9,1,1,0,0,X,5,5,marts002,R,igler001,R,,,,63/G,F,2,0,74
399,PIT201904060,CIN,9,1,2,2,0,BBX,5,5,reyep001,R,igler001,R,,,,S7/G,F,20,0,75
400,PIT201904060,CIN,9,1,2,0,0,1,5,5,bellj005,L,igler001,R,reyep001,,,PO1(13),F,8,0,76
404,PIT201904060,CIN,10,1,0,2,2,...BBFFS,5,5,bellj005,L,igler001,R,,,,K,T,3,0,80
405,PIT201904060,CIN,10,1,1,0,1,.CX,5,5,cervf001,R,igler001,R,,,,S8/L,F,20,0,81
406,PIT201904060,CIN,10,1,1,0,0,X,5,5,newmk001,R,igler001,R,cervf001,,,D8/L+.1-H,F,21,1,82
410,PIT201904070,CIN,1,1,0,0,0,X,0,0,fraza001,L,desca001,R,,,,HR/89/F,T,23,1,4
411,PIT201904070,CIN,1,1,0,3,1,BTBBX,0,1,marts002,R,desca001,R,,,,13/G-,F,2,0,5
412,PIT201904070,CIN,1,1,1,1,2,BCFFFC,0,1,cervf001,R,desca001,R,,,,K,F,3,0,6
413,PIT201904070,CIN,1,1,2,3,2,BFBFBS,0,1,bellj005,L,desca001,R,,,,K,F,3,0,7
420,PIT201904070,CIN,2,1,0,2,2,FBBTS,2,1,kangj001,R,desca001,R,,,,K,T,3,0,14
421,PIT201904070,CIN,2,1,1,2,1,BBFX,2,1,cabrm002,L,desca001,R,,,,S8/L,F,20,0,15
422,PIT201904070,CIN,2,1,1,0,0,X,2,1,martj009,L,desca001,R,cabrm002,,,8/F,F,2,0,16
423,PIT201904070,CIN,2,1,2,0,0,X,2,1,gonze004,R,desca001,R,cabrm002,,,D9/F.1-H;BX3(965),F,21,1,17
429,PIT201904070,CIN,3,1,0,1,2,CCBC,3,2,archc001,R,desca001,R,,,,K,T,3,0,23
430,PIT201904070,CIN,3,1,1,0,0,X,3,2,fraza001,L,desca001,R,,,,7/L,F,2,0,24
431,PIT201904070,CIN,3,1,2,0,1,CX,3,2,marts002,R,desca001,R,,,,3/G,F,2,0,25
